lineup_id,country,channel_type,channel_id,dn_1,dn_2,dn_3,call_sign,channel_number,feed,network_base,city,region,brand_scope,resolution,final_display_name
10273,US,specialty,6204.stations.xmltv.tvmedia.ca,VH1 HD - Eastern,VH1,717,VH1,717,,VH1 HD - Eastern,,,,,
10273,US,specialty,32002.stations.xmltv.tvmedia.ca,BET Her HD,BETHer-HD,720,,720,,BET Her HD,,,,,
10273,US,specialty,6344.stations.xmltv.tvmedia.ca,CMT US - Eastern Feed HD,CMTUS-HD,721,CMTUS-HD,721,,CMT US - Eastern Feed HD,,,,,
10273,US,specialty,11302.stations.xmltv.tvmedia.ca,Revolt TV HD,REVOLTHD,726,REVOLTHD,726,,Revolt TV HD,,,,,
10273,US,specialty,6219.stations.xmltv.tvmedia.ca,AMC - Eastern Feed HD,AMC-HD,731,AMC-HD,731,,AMC - Eastern Feed HD,,,,,
10273,US,specialty,8463.stations.xmltv.tvmedia.ca,FX Movie Channel HD,FXMHD,732,FXMHD,732,,FX Movie Channel HD,,,,,
10273,US,specialty,6215.stations.xmltv.tvmedia.ca,Independent Film Channel US HD,IFC,734,IFC,734,,Independent Film Channel US HD,,,,,
10273,US,specialty,8264.stations.xmltv.tvmedia.ca,SundanceTV USA - East HD,SUND,735,SUND,735,,SundanceTV USA - East HD,,,,,
10273,US,specialty,7460.stations.xmltv.tvmedia.ca,UP HD,UPHD,738,UPHD,738,,UP HD,,,,,
10273,US,specialty,6214.stations.xmltv.tvmedia.ca,Hallmark Mystery Eastern - HD,HMYS-HD,739,HMYS-HD,739,,Hallmark Mystery Eastern - HD,,,,,
10273,US,specialty,1052.stations.xmltv.tvmedia.ca,Hallmark - Eastern Feed,HALL,740,HALL,740,,Hallmark - Eastern Feed,,,,,
10273,US,specialty,8815.stations.xmltv.tvmedia.ca,TV Land - Eastern HD,TVLAND-HD,741,TVLAND-HD,741,,TV Land - Eastern HD,,,,,
10273,US,specialty,6107.stations.xmltv.tvmedia.ca,MGM HD (USA),MGMHD,744,MGMHD,744,,MGM HD,,,,,
10273,US,specialty,4267.stations.xmltv.tvmedia.ca,HDNet Movies,DHM,746,DHM,746,,HDNet Movies,,,,,
10273,US,specialty,6342.stations.xmltv.tvmedia.ca,Nickelodeon USA - East Feed HD,NICKHD,752,NICKHD,752,,Nickelodeon USA - East Feed HD,,,,,
10273,US,specialty,11445.stations.xmltv.tvmedia.ca,Nicktoons HD - East,NICKHD,754,NICKHD,754,,Nicktoons HD - East,,,,,
10273,US,specialty,20031.stations.xmltv.tvmedia.ca,TeenNick - Eastern HD,TNICK,755,TNICK,755,,TeenNick - Eastern HD,,,,,
10273,US,specialty,11444.stations.xmltv.tvmedia.ca,Nick Jr. HD,NICKJHD,756,NICKJHD,756,,Nick Jr. HD,,,,,
10273,US,specialty,6917.stations.xmltv.tvmedia.ca,Cartoon Network USA HD - Eastern,TOON,757,TOON,757,,Cartoon Network USA HD - Eastern,,,,,
10273,US,specialty,16414.stations.xmltv.tvmedia.ca,Baby First TV HD,BABY1HD,765,BABY1HD,765,,Baby First TV HD,,,,,
10273,US,specialty,6205.stations.xmltv.tvmedia.ca,BET HD - Eastern Feed,BET-HD,770,BET-HD,770,,BET HD - Eastern Feed,,,,,
10273,US,specialty,7082.stations.xmltv.tvmedia.ca,TV One HD,TV1,771,TV1,771,,TV One HD,,,,,
10273,US,specialty,10761.stations.xmltv.tvmedia.ca,ASPiRE TV HD,ASPiRE-HD,772,,772,,ASPiRE TV HD,,,,,
